N,Topology,Strategy,Iterations,Final_Std,Consensus_Value
10,ring,DeGroot,157,9.872566024934761e-09,52.013673595267484
10,ring,固执型 α=0.7,363,9.5232225930831e-09,52.013673595267406
10,ring,易受影响 β=2.0,213,9.913859223582178e-09,52.013673595267505
10,star,DeGroot,32,6.822754136624033e-09,57.38326907650567
10,star,固执型 α=0.7,62,7.294545783991997e-09,60.36637767719507
10,star,易受影响 β=2.0,32,6.822754319241031e-09,60.366377677195054
10,complete,DeGroot,1,4.4938668397781774e-15,52.013673595267484
10,complete,固执型 α=0.7,54,9.28315614323199e-09,52.01367359526745
10,complete,易受影响 β=2.0,27,9.283155324225949e-09,52.013673595267484
20,ring,DeGroot,591,9.826965128955182e-09,39.7827540169818
20,ring,固执型 α=0.7,1325,9.886832304746727e-09,39.782754016982196
20,ring,易受影响 β=2.0,791,9.900117186280091e-09,39.78275401698177
20,star,DeGroot,32,5.6683269981065835e-09,28.87794661345385
20,star,固执型 α=0.7,61,8.656993531200866e-09,23.13857429567452
20,star,易受影响 β=2.0,32,5.667960754008919e-09,23.13857429567451
20,complete,DeGroot,1,7.105427357601002e-15,39.78275401698178
20,complete,固执型 α=0.7,58,7.079228091134648e-09,39.78275401698176
20,complete,易受影响 β=2.0,29,9.957689458312207e-09,39.78275401698177
50,ring,DeGroot,2000,0.00010335262973578511,47.13941385783514
50,ring,固执型 α=0.7,2000,0.03429744409603388,47.139413857835706
50,ring,易受影响 β=2.0,2000,0.001449140690448796,47.13941385783509
50,star,DeGroot,32,6.845398383917645e-09,63.85809919804036
50,star,固执型 α=0.7,62,7.301894502715054e-09,72.38804069973712
50,star,易受影响 β=2.0,32,6.829631352090262e-09,72.38804069973712
50,complete,DeGroot,1,7.452235082682191e-15,47.13941385783508
50,complete,固执型 α=0.7,60,9.069843676766688e-09,47.139413857835116
50,complete,易受影响 β=2.0,31,7.431893530393505e-09,47.139413857835095
